sepal.length,sepal.width,petal.length,petal.width,variety,Setosa,Versicolor,Virginica,sepal.length_discrete
0.1111111111111111,0.5,0.1016949152542373,0.0416666666666666,0,1,0,0,Very Low
0.4444444444444446,0.4583333333333332,0.6610169491525424,0.5833333333333334,1,0,1,0,Medium
0.6111111111111112,0.5,0.6949152542372881,0.7916666666666667,2,0,0,1,High
0.4444444444444446,0.5,0.6440677966101694,0.7083333333333334,2,0,0,1,Medium
0.1388888888888888,0.4166666666666667,0.0677966101694915,0.0,0,1,0,0,Very Low
0.4444444444444446,0.2916666666666667,0.4576271186440678,0.5416666666666667,1,0,1,0,Medium
0.5833333333333335,0.375,0.559322033898305,0.5000000000000001,1,0,1,0,Medium
0.4444444444444446,0.2083333333333332,0.5084745762711864,0.5000000000000001,1,0,1,0,Medium
0.6666666666666667,0.4583333333333332,0.6271186440677966,0.5833333333333334,1,0,1,0,High
0.4722222222222223,0.375,0.5932203389830508,0.5833333333333334,1,0,1,0,Medium
0.1388888888888888,0.4166666666666667,0.0677966101694915,0.0833333333333333,0,1,0,0,Very Low
0.6666666666666667,0.4583333333333332,0.4576271186440678,0.9583333333333334,2,0,0,1,High
0.1944444444444444,0.0,0.423728813559322,0.375,1,0,1,0,Very Low
0.4999999999999998,0.3333333333333332,0.6271186440677966,0.4583333333333333,1,0,1,0,Medium
0.2222222222222221,0.2083333333333332,0.3389830508474576,0.4166666666666667,1,0,1,0,Low
0.4444444444444446,0.3333333333333332,0.6949152542372881,0.4583333333333333,2,0,0,1,Medium
0.75,0.5,0.6271186440677966,0.5416666666666667,2,0,0,1,High
0.4999999999999998,0.4166666666666667,0.6610169491525424,0.7083333333333334,2,0,0,1,Medium
0.6666666666666667,0.4583333333333332,0.4576271186440678,0.9583333333333334,2,0,0,1,High
0.4166666666666665,0.2916666666666667,0.4915254237288134,0.4583333333333333,1,0,1,0,Medium
0.6666666666666667,0.4583333333333332,0.576271186440678,0.5416666666666667,1,0,1,0,High
0.9444444444444442,0.4166666666666667,0.8644067796610169,0.9166666666666666,2,0,0,1,Very High
0.4722222222222223,0.0833333333333333,0.5084745762711864,0.375,1,0,1,0,Medium
0.6111111111111112,0.5,0.6949152542372881,0.7916666666666667,2,0,0,1,High
0.8611111111111112,0.3333333333333332,0.8644067796610169,0.4583333333333333,2,0,0,1,Very High
0.4999999999999998,0.25,0.7796610169491525,0.5416666666666667,2,0,0,1,Medium
0.6944444444444444,0.4166666666666667,0.7627118644067796,0.8333333333333335,2,0,0,1,High
0.8611111111111112,0.3333333333333332,0.8644067796610169,0.4583333333333333,2,0,0,1,Very High
0.5555555555555556,0.5416666666666665,0.847457627118644,0.4583333333333333,2,0,0,1,Medium
0.3333333333333332,0.1666666666666666,0.4745762711864406,0.4166666666666667,1,0,1,0,Low
0.3611111111111109,0.2916666666666667,0.5423728813559322,0.5000000000000001,1,0,1,0,Low
0.2222222222222221,0.5416666666666665,0.1186440677966101,0.1666666666666666,0,1,0,0,Low
0.3333333333333332,0.1249999999999998,0.5084745762711864,0.4583333333333333,1,0,1,0,Low
0.3888888888888888,0.3333333333333332,0.5254237288135593,0.5000000000000001,1,0,1,0,Low
0.6111111111111112,0.5,0.6949152542372881,0.7916666666666667,2,0,0,1,High
0.3055555555555556,0.4583333333333332,0.4576271186440678,0.5833333333333334,1,0,1,0,Low
0.4444444444444446,0.5833333333333333,0.4576271186440678,0.9166666666666666,2,0,0,1,Medium
0.5555555555555556,0.1249999999999998,0.576271186440678,0.5000000000000001,1,0,1,0,Medium
0.3055555555555556,0.7916666666666665,0.0508474576271186,0.125,0,1,0,0,Low
0.4999999999999998,0.375,0.6271186440677966,0.4583333333333333,1,0,1,0,Medium
0.2777777777777777,0.7083333333333333,0.0847457627118644,0.0416666666666666,0,1,0,0,Low
0.833333333333333,0.375,0.8983050847457625,0.4583333333333333,2,0,0,1,Very High
0.1944444444444444,0.625,0.0508474576271186,0.0833333333333333,0,1,0,0,Very Low
0.6111111111111112,0.4166666666666667,0.7627118644067796,0.7083333333333334,2,0,0,1,High
0.75,0.5,0.6271186440677966,0.5416666666666667,2,0,0,1,High
0.5833333333333335,0.4583333333333332,0.4576271186440678,0.75,2,0,0,1,Medium
0.7777777777777777,0.4166666666666667,0.8305084745762712,0.8333333333333335,2,0,0,1,High
0.1944444444444444,0.4166666666666667,0.1016949152542373,0.0416666666666666,0,1,0,0,Very Low
0.6666666666666667,0.4583333333333332,0.6271186440677966,0.5833333333333334,1,0,1,0,High
0.5555555555555556,0.5416666666666665,0.847457627118644,0.4583333333333333,2,0,0,1,Medium
0.1666666666666667,0.6666666666666667,0.0677966101694915,0.0,0,1,0,0,Very Low
0.3888888888888888,0.7499999999999998,0.1186440677966101,0.4583333333333333,0,1,0,0,Low
0.6666666666666667,0.4583333333333332,0.7966101694915254,1.0,2,0,0,1,High
0.0833333333333332,0.4583333333333332,0.0847457627118644,0.4583333333333333,0,1,0,0,Very Low
0.25,0.5833333333333333,0.0677966101694915,0.0416666666666666,0,1,0,0,Low
0.1944444444444444,0.625,0.0508474576271186,0.0833333333333333,0,1,0,0,Very Low
0.4999999999999998,0.4166666666666667,0.6610169491525424,0.7083333333333334,2,0,0,1,Medium
0.6944444444444444,0.3333333333333332,0.6440677966101694,0.5416666666666667,1,0,1,0,High
0.1666666666666667,0.4583333333333332,0.4576271186440678,0.0416666666666666,0,1,0,0,Very Low
0.8055555555555556,0.4583333333333332,0.8644067796610169,1.0,2,0,0,1,Very High
0.3888888888888888,0.3333333333333332,0.4576271186440678,0.5000000000000001,1,0,1,0,Low
0.3888888888888888,0.375,0.5423728813559322,0.5000000000000001,1,0,1,0,Low
0.2222222222222221,0.7083333333333333,0.4576271186440678,0.125,0,1,0,0,Low
0.3055555555555556,0.4583333333333332,0.4576271186440678,0.5833333333333334,1,0,1,0,Low
0.1388888888888888,0.4166666666666667,0.0677966101694915,0.0833333333333333,0,1,0,0,Very Low
0.2222222222222221,0.5416666666666665,0.1186440677966101,0.1666666666666666,0,1,0,0,Low
