sepal.length,sepal.width,petal.length,petal.width,variety
5.1,3.5,1.4,0.2,Setosa
5.4,3.9,1.7,0.4,Setosa
5.9,3.4,1.4,0.3,Setosa
5.9,3.4,1.5,0.2,Setosa
5.4,3.7,1.5,0.2,Setosa
5.8,3.1,1.2,0.2,Setosa
5.7,4.4,1.5,1.2,Setosa
5.4,3.9,1.3,0.4,Setosa
5.1,3.5,1.4,0.3,Virginica
5.7,3.8,1.7,1.2,Setosa
5.1,3.8,1.5,0.3,Setosa
5.4,3.4,3.7,0.2,Setosa
5.1,3.7,3.7,0.4,Setosa
5.1,3.3,1.7,0.5,Setosa
5.2,3.5,1.5,0.2,Virginica
5.2,3.4,1.4,0.2,Setosa
5.4,3.4,1.5,0.4,Setosa
5.2,4.1,1.5,0.1,Setosa
5.5,4.2,1.4,0.2,Virginica
5.5,3.5,1.3,0.2,Setosa
5.1,3.4,1.5,0.2,Setosa
5.9,3.5,1.6,0.6,Setosa
5.1,3.8,1.9,1.2,Setosa
5.1,3.8,1.6,0.2,Setosa
5.9,3.2,1.4,0.2,Setosa
5.3,3.7,1.5,0.2,Setosa
7.0,3.2,4.7,1.4,Virginica
6.4,3.2,4.5,1.2,Versicolor
5.9,3.1,4.9,1.5,Versicolor
6.3,3.3,4.7,1.6,Versicolor
6.7,3.1,4.4,1.4,Versicolor
5.9,3.2,4.8,1.8,Virginica
5.4,3.1,3.7,1.5,Versicolor
5.9,3.4,4.5,1.6,Versicolor
6.7,3.1,4.7,1.5,Versicolor
5.7,3.1,4.2,1.2,Versicolor
6.3,3.3,6.0,1.2,Virginica
6.3,3.1,5.6,1.8,Virginica
5.9,3.1,5.8,1.8,Virginica
7.2,3.1,6.1,2.5,Virginica
6.5,3.2,5.1,2.0,Virginica
6.4,3.1,3.7,1.9,Virginica
6.4,3.2,5.3,2.3,Virginica
7.7,3.8,6.7,2.2,Virginica
6.9,3.2,5.7,2.3,Virginica
6.7,3.3,5.7,2.1,Virginica
7.2,3.2,6.0,1.8,Virginica
7.9,3.8,6.4,2.0,Virginica
6.3,3.4,5.6,2.4,Virginica
6.4,3.1,5.5,1.8,Virginica
6.0,3.1,4.8,1.2,Virginica
6.9,3.1,5.4,1.2,Virginica
6.7,3.1,3.7,2.4,Virginica
6.9,3.1,5.1,2.3,Virginica
6.8,3.2,5.9,2.3,Virginica
6.7,3.1,5.7,2.5,Virginica
6.3,3.1,5.0,1.9,Virginica
5.9,3.1,5.2,2.0,Virginica
5.9,3.4,3.7,2.3,Virginica
